paper_id,title,doi,num_pages,abstract_summary,year_published
087c755ff8689e4c5d846f952e9b2ed17dfe99f9,TigerVector: Supporting Vector Search in Graph Databases for Advanced RAGs,,0,,2025
514e4e91e0fbddaa85857760d4f206a18228d614,CodexGraph: Bridging Large Language Models and Code Repositories via Code Graph Databases,,0,,2024
3ca49899da83e160280c709288973e9caed30fa2,Text2Cypher: Bridging Natural Language and Graph Databases,,0,,2024
730d8b1e289067af593cfbc36c52ec0275507514,Survey: Graph Databases,,0,,2025
27d0ae215acfaa5914fc13cea20626c9470848c2,Real-Time Text-to-Cypher Query Generation with Large Language Models for Graph Databases,,0,,2024
6e08bd9b6ecb3e3978de66c5f8bd8636367413bc,Understanding Graph Databases: A Comprehensive Tutorial and Survey,,0,,2024
033275ccc2c7c5c38592ae893da0b5923cf90717,Neural Graph Reasoning: Complex Logical Query Answering Meets Graph Databases,,0,,2023
459cf4e6476d5e19f1bc422c162bcded54ca7f95,"Experimental Evaluation of Graph Databases: JanusGraph, Nebula Graph, Neo4j, and TigerGraph",,0,,2023
3c78b9d672e5bb2e065bcac54b52aa08b94b7321,The importance of graph databases and graph learning for clinical applications,,0,,2023
86e9b0585c8b866665de18b2744d69aefff3e16d,A model and query language for temporal graph databases,,0,,2021
paper_fc0a5a2281f3,Upgradable Intangible Adapter,10.1000/synth.76719,16,Including player tree. Set effort authority claim ahead view stuff. Different protect figure hard class. Boy least break reality.,2015
paper_1b1a5c7d1943,Multi-Layered Client-Server Policy,10.1000/synth.99856,26,Protect senior wind cell. Appear operation represent maybe machine research make need. Election part hand camera serve. Me right democratic some.,2017
paper_d7951118457c,Customer-Focused Transitional Approach,10.1000/synth.44377,18,Try behind trip enter. Simply summer rich others. As everybody care while drive single why. Table particularly cell policy American safe worry.,2024
paper_235627dbc304,Profound Bifurcated Challenge,10.1000/synth.2815,8,Employee he life lose north available process. Form next break third summer lot. Such simply receive. Child husband like. Firm better radio ten read analysis different hospital. Easy out dream military value.,2014
paper_80f5d71c565c,Seamless 4Thgeneration Synergy,10.1000/synth.58482,15,Parent certainly safe bring end seek. Unit show shake whether follow. Soon human civil modern lead drop evidence. Firm instead several. Pull myself woman himself. Cup one boy home last real until.,2015
